name;nationality;position;overall;age;real_team;device
Renato Civelli;Argentina;CB;73;36;Club Atlético Banfield;2
Per Ciljan Skjelbred;Norway;CDM|CM;76;33;Hertha BSC;2
Darío Cvitanich;Argentina;ST;76;36;Racing Club;2
Rodrigo Palacio;Argentina;ST|CAM;76;38;Bologna;2
Magnus Wolff Eikrem;Norway;CM|CAM;75;29;Molde FK;2
Juan Insaurralde;Argentina;CB;73;35;Colo-Colo;2
Víctor Figueroa;Argentina;LM|CAM;62;36;Sociedad Deportiva Aucas;2
Lucas Licht;Argentina;LB|LWB|LM|LW;69;39;Gimnasia y Esgrima La Plata;2
Sergio Agüero;Argentina;ST;90;32;Manchester City;2
Mauro Zárate;Argentina;ST|CAM|CF;77;33;Boca Juniors;2
Hernán Pellerano;Argentina;CB;65;36;FBC Melgar;2
André-Pierre Gignac;France;ST|CF;81;34;Tigres U.A.N.L.;2
Hilton;Brazil;CB;79;42;Montpellier Hérault SC;2
Jean-Louis Leca;France;GK;73;34;Racing Club de Lens;2
Àngel Rangel;Spain;RB;68;37;Queens Park Rangers;2
Jorge Molina;Spain;ST;80;38;Getafe CF;2
Cezary Stefanczyk;Poland;RB;62;36;Wisla Plock;2
Mihai Roman;Romania;RB|RM;66;35;Fotbal Club Boto?ani;2
Yuriy Zhirkov;Russia;LB|LM;76;36;Free Agents;2
Craig Mackail-Smith;Scotland;ST|RM|RW;62;36;Stevenage;2
Amin Askar;Ethiopia;ST|RB|LM;64;34;Kristiansund BK;2
Jakub Szmatula;Poland;GK;64;39;Piast Gliwice;2
Richard Stearman;England;CB;69;32;Huddersfield Town;2
Leon Clarke;England;ST;69;35;Sheffield United;2
Peter Nymann;Denmark;RB;65;37;AC Horsens;2
Piotr Celeban;Poland;RB|CB;67;35;Slask Wroclaw;2
Martin Ørnskov;Denmark;CDM|CM;64;34;Lyngby BK;2
Sergio Ramos;Spain;CB;89;34;Real Madrid;2
Bartosz Bialkowski;Poland;GK;72;33;Millwall;2
Aiden McGeady;Republic of Ireland;LM;72;34;Charlton Athletic;2
Stephen Henderson;Republic of Ireland;GK;65;32;Crystal Palace;2
Michael Bradley;United States;CDM|CM;75;32;Toronto FC;2
Casto;Spain;GK;66;38;Extremadura UD;2
Robert Snodgrass;Scotland;RM|CM;77;32;West Ham United;2
Scott McDonald;Australia;ST|RW;66;36;Brisbane Roar;2
Charlie Adam;Scotland;CDM|CM;67;34;Reading;2
Gary MacKenzie;Scotland;CB;63;34;St. Mirren;2
David Bicík;Czech Republic;GK;65;39;Sparta Praha;2
Tomáš Cerny;Czech Republic;GK;65;35;Aberdeen;2
Martin Cranie;England;RB|CB;68;33;Luton Town;2
Matthew Mills;England;CB;65;34;Forest Green Rovers;2
Cristian Sapunaru;Romania;CB|CDM;70;36;Kayserispor;2
Joe Lewis;England;GK;73;32;Aberdeen;2
Jakub Rzezniczak;Poland;RB|CB;67;33;Wisla Plock;2
Adam El-Abd;Egypt;CB;64;35;Stevenage;2
Adebayo Akinfenwa;England;ST;65;38;Wycombe Wanderers;2
Paul Quasten;Czech Republic;LB;62;35;RKC Waalwijk;2
José de Jesús Corona;Mexico;GK;75;39;Cruz Azul;2
