name;nationality;position;overall;age;real_team;device
Yuriy Zhirkov;Russia;LB|LM;76;36;Free Agents;Playstation
Craig Mackail-Smith;Scotland;ST|RM|RW;62;36;Stevenage;Playstation
Amin Askar;Ethiopia;ST|RB|LM;64;34;Kristiansund BK;Playstation
Jakub Szmatula;Poland;GK;64;39;Piast Gliwice;Playstation
Richard Stearman;England;CB;69;32;Huddersfield Town;Playstation
Leon Clarke;England;ST;69;35;Sheffield United;Playstation
Peter Nymann;Denmark;RB;65;37;AC Horsens;Playstation
Piotr Celeban;Poland;RB|CB;67;35;Slask Wroclaw;Playstation
Martin Ørnskov;Denmark;CDM|CM;64;34;Lyngby BK;Playstation
Sergio Ramos;Spain;CB;89;34;Real Madrid;Playstation
Bartosz Bialkowski;Poland;GK;72;33;Millwall;Playstation
Aiden McGeady;Republic of Ireland;LM;72;34;Charlton Athletic;Playstation
Stephen Henderson;Republic of Ireland;GK;65;32;Crystal Palace;Playstation
Michael Bradley;United States;CDM|CM;75;32;Toronto FC;Playstation
Casto;Spain;GK;66;38;Extremadura UD;Playstation
Robert Snodgrass;Scotland;RM|CM;77;32;West Ham United;Playstation
Scott McDonald;Australia;ST|RW;66;36;Brisbane Roar;Playstation
Charlie Adam;Scotland;CDM|CM;67;34;Reading;Playstation
Gary MacKenzie;Scotland;CB;63;34;St. Mirren;Playstation
David Bicík;Czech Republic;GK;65;39;Sparta Praha;Playstation
Tomáš Cerny;Czech Republic;GK;65;35;Aberdeen;Playstation
Martin Cranie;England;RB|CB;68;33;Luton Town;Playstation
Matthew Mills;England;CB;65;34;Forest Green Rovers;Playstation
Cristian Sapunaru;Romania;CB|CDM;70;36;Kayserispor;Playstation
Joe Lewis;England;GK;73;32;Aberdeen;Playstation
Jakub Rzezniczak;Poland;RB|CB;67;33;Wisla Plock;Playstation
Adam El-Abd;Egypt;CB;64;35;Stevenage;Playstation
Adebayo Akinfenwa;England;ST;65;38;Wycombe Wanderers;Playstation
Paul Quasten;Czech Republic;LB;62;35;RKC Waalwijk;Playstation
José de Jesús Corona;Mexico;GK;75;39;Cruz Azul;Playstation
Guillaume Hoarau;France;ST;76;36;BSC Young Boys;Playstation
Alfredo Talavera;Mexico;GK;72;37;Deportivo Toluca;Playstation
Philipp Pentke;Germany;GK;73;35;TSG 1899 Hoffenheim;Playstation
Thomas Gebauer;Austria;GK;64;38;LASK Linz;Playstation
Richard Wood;England;CB;66;35;Rotherham United;Playstation
Yuki Abe;Japan;CB|CDM|CM;66;38;Urawa Red Diamonds;Playstation
