name;nationality;position;overall;age;real_team;device
Ali Al Habsi;Oman;GK;68;38;West Bromwich Albion;PC
Espen Ruud;Norway;RB;69;36;Odds BK;PC
Iven Austbø;Norway;GK;66;35;Viking FK;PC
Klaas-Jan Huntelaar;Netherlands;ST;75;36;Ajax;PC
Cristian Molinaro;Italy;LB|LM;69;36;Venezia;PC
Christian Maggio;Italy;RB;73;38;Benevento;PC
Francesco Magnanelli;Italy;CDM;74;35;Sassuolo;PC
Alex Cordaz;Italy;GK;72;37;Crotone;PC
Valeri Bojinov;Bulgaria;ST;69;34;Pescara;PC
Antonio Rosati;Italy;GK;69;37;Torino;PC
Mirko Stefani;Italy;CB;67;36;Pordenone;PC
Alan Bennett;Republic of Ireland;CB;57;38;Cork City;PC
Gary Rogers;Republic of Ireland;GK;63;38;Dundalk;PC
Wes Hoolahan;Republic of Ireland;RM|CAM;68;38;Newcastle Jets;PC
Daryl Murphy;Republic of Ireland;ST;67;37;Bolton Wanderers;PC
Avraam Papadopoulos;Greece;CB;69;35;Olympiacos CFP;PC
Mario Gómez;Germany;ST;74;35;VfB Stuttgart;PC
Romain Salin;France;GK;72;36;Stade Rennais FC;PC
Lukas Podolski;Germany;ST|CAM|RW;74;35;Antalyaspor;PC
Vincent Demarconnay;France;GK;70;37;Paris FC;PC
Joe Hart;England;GK;75;33;Burnley;PC
Markus Halsti;Finland;CB;67;36;Esbjerg fB;PC
Boris Rotenberg;Finland;RWB|RB|RW;61;34;Lokomotiv Moscow;PC
James Coppinger;England;CAM|LW;67;39;Doncaster Rovers;PC
Steven Davis;Northern Ireland;CDM|CM;74;35;Rangers FC;PC
Johan Absalonsen;Denmark;RM|LM|LW;65;34;SønderjyskE;PC
Philipp Netzer;Austria;CB;66;34;SCR Altach;PC
Ramazan Özcan;Austria;GK;73;36;Bayer 04 Leverkusen;PC
Gareth Evans;England;CAM;65;32;Portsmouth;PC
Scott Brown;England;GK;65;35;Port Vale;PC
Mattias Moström;Sweden;RM|LM;61;37;Molde FK;PC
John White;England;CB;63;34;Southend United;PC
Scott Flinders;England;GK;63;34;Cheltenham Town;PC
Bradley Johnson;England;CDM|CM;69;33;Blackburn Rovers;PC
Gaël Clichy;France;LB;76;35;Medipol Basaksehir FK;PC
Alexander Tettey;Norway;CDM;71;34;Norwich City;PC
Johan Lædre Bjørdal;Norway;CB;66;34;Vålerenga Fotball;PC
Ricardo Vaz Tê;Portugal;ST;72;33;Portimonense SC;PC
Piqué;Spain;CB;88;33;FC Barcelona;PC
Aaron Lennon;England;RM|LM;73;33;Burnley;PC
Felipe Saad;Brazil;CB;66;36;Paris FC;PC
Mark Noble;England;CDM|CM;76;33;West Ham United;PC
Ashley Young;England;RB|RM|LM;75;35;Inter;PC
José Sand;Argentina;ST;76;40;Club Atlético Lanús;PC
Rubens Sambueza;Argentina;CDM|RM|CM;75;36;Pachuca;PC
Edgar Barreto;Paraguay;CM;71;36;Sampdoria;PC
Mariusz Pawelec;Poland;RB|LB|CB;64;34;Slask Wroclaw;PC
Dean Marney;England;CM;64;36;Fleetwood Town;PC
Renato Civelli;Argentina;CB;73;36;Club Atlético Banfield;PC
Per Ciljan Skjelbred;Norway;CDM|CM;76;33;Hertha BSC;PC
Darío Cvitanich;Argentina;ST;76;36;Racing Club;PC
Rodrigo Palacio;Argentina;ST|CAM;76;38;Bologna;PC
Magnus Wolff Eikrem;Norway;CM|CAM;75;29;Molde FK;PC
Juan Insaurralde;Argentina;CB;73;35;Colo-Colo;PC
