name;nationality;position;overall;age;real_team;device
Félix Tomi;France;ST|CAM;58;19;Athlétic Club Ajaccio;3
Stelios Kokovas;Greece;LB;57;19;VfL Bochum 1848;3
Andrés Catalán;Mexico;LB|CB;58;19;Monarcas Morelia;3
Jesús Gómez;Mexico;LB;57;18;Club Atlas;3
Diego González;Chile;CM;60;21;CD O'Higgins;3
Park Jung In;Korea Republic;CAM;57;19;Ulsan Hyundai Horang-i;3
César Haydar;Colombia;CB;61;19;Junior FC;3
Assil Jaziri;Tunisia;LW;63;20;OGC Nice;3
Herman Moussaki;Congo;ST|RW;62;21;Stade Malherbe Caen;3
Yoel Juárez;Argentina;LW;59;18;Club Atlético Aldosivi;3
Zubimendi;Spain;CM;61;21;Real Sociedad;3
Michal Karbownik;Poland;LB|CM;64;19;Legia Warszawa;3
Murat Cem Akpinar;Turkey;CDM|CM;65;21;Trabzonspor;3
Andrei Ra?iu;Romania;RB;62;22;Villarreal CF;3
Davide Bettella;Italy;CB;64;20;Pescara;3
Nassim Boujellab;Morocco;CM|CAM;65;21;FC Schalke 04;3
Igor Levchenko;Ukraine;GK;60;29;AFC Eskilstuna;3
Valentino Yuel;South Sudan;ST|RW|LW;59;25;Western United FC;3
Song Min Kyu;Korea Republic;LM|CAM;60;20;Pohang Steelers;3
Juan Camilo Portilla;Colombia;CM;57;21;Alianza Petrolera;3
Valentin Antov;Bulgaria;CB|CDM;62;19;Free Agents;3
Martin Minchev;Bulgaria;ST|RM;63;19;Free Agents;3
Elias Ramírez;Spain;GK;62;21;RCD Mallorca;3
Marko Dira;Croatia;LB|CDM;66;21;Dinamo Zagreb;3
Konstantin Maradishvili;Russia;CDM|CM;61;20;PFC CSKA Moscow;3
Pavel Maslov;Russia;RB|LB|CM;61;20;Spartak Moscow;3
Ilya Gaponov;Russia;CB;63;22;Spartak Moscow;3
Mu Pengfei;China PR;GK;57;31;Beijing Renhe FC;3
Jonas Carls;Germany;LB|LWB|LW;62;23;Fußballclub Viktoria Köln 1904 e.V.;3
Hernán López;Argentina;CAM;63;19;River Plate;3
Mazire Soula;France;RM;59;22;Angers SCO;3
Eduardo Camavinga;France;CM;75;17;Stade Rennais FC;3
Thore Pedersen;Norway;LB|LM;63;23;FK Haugesund;3
Sebastian Soto;United States;ST;60;20;Hannover 96;3
Sebastián Galani;Chile;CM;67;22;Universidad de Chile;3
Sebastián Cabrera;Chile;LB;65;22;CD Palestino;3
Sacha Boey;France;RB;64;19;Stade Rennais FC;3
Taylor Allen;England;ST|RW;57;20;Forest Green Rovers;3
Oliver Petersen;Norway;GK;57;18;Molde FK;3
Abdulaziz Al Shahrani;Saudi Arabia;CAM|RW;60;25;Damac FC;3
Justin Neiß;Germany;RM|LM;59;20;Hannover 96;3
Jacob Samnik;United States;GK;59;19;Hobro IK;3
Isaac Atanga;Ghana;ST|RW;64;20;FC Nordsjælland;3
Eduardo Del Ángel;Mexico;CDM;60;20;Monarcas Morelia;3
José Plascencia;Mexico;CM;59;21;Club Necaxa;3
Jorge Rengifo;Colombia;ST;58;23;Millonarios FC;3
Ilia Gruev;Bulgaria;CDM|LM;61;20;SV Werder Bremen;3
Roberto Piccoli;Italy;ST;64;19;Atalanta;3
Gustavo Assunção;Brazil;CDM;74;20;Futebol Clube de Famalicão;3
Alexandre Ippolito;Belgium;ST;59;21;Royal Excel Mouscron;3
Mikael Johnsen;Norway;ST|CAM;58;20;Rosenborg BK;3
Jérémy Corinus;France;CB|CDM;60;23;Athlétic Club Ajaccio;3
Zourdine Thior;Senegal;RW;64;23;Real Sociedad;3
Francisc Cristea;Romania;CAM;59;19;Fotbal Club Politehnica Ia?i;3
Daniel Hanslik;Germany;ST|RW|LW;64;23;FC Hansa Rostock;3
Luis Ni?u;Romania;ST|RW;59;19;U Craiova 1948 Club Sportiv;3
Miguel Marí;Spain;CDM|CM|CAM;64;23;SD Eibar;3
Ludovic Le Pennec;France;GK;57;19;US Orléans Loiret Football;3
Ian Maatsen;Netherlands;RB|LB|CB;58;18;Chelsea;3
Johannes Handl;Austria;CB;63;22;FK Austria Wien;3
Tino Anjorin;England;CM|CAM;58;18;Chelsea;3
José García;Mexico;CDM;61;22;Tigres U.A.N.L.;3
Samir Chergui;France;CB|CM;57;21;AJ Auxerre;3
Diant Ramaj;Germany;GK;59;18;1. FC Heidenheim 1846;3
Nathan Collins;Republic of Ireland;CB;63;19;Stoke City;3
Jung Hoon Sung;Korea Republic;RM;63;26;Ulsan Hyundai Horang-i;3
Lee Soo Bin;Korea Republic;CDM|CM;59;20;Jeonbuk Hyundai Motors;3
Dawid Szot;Poland;CB;57;19;Wisla Kraków;3
Daniel Quiñones;Colombia;RB;65;21;América de Cali;3
Naoufal Bannis;Netherlands;ST;61;18;Feyenoord;3
Mateusz Skrzypczak;Poland;CB|CDM;57;19;Lech Poznan;3
Brahima Doukansy;France;CB|CDM;59;20;Chamois Niortais Football Club;3
Jara;Spain;GK;61;21;CD Numancia;3
Ariel Uribe;Chile;CAM;62;21;CD Antofagasta;3
Daniel Aguilar;Mexico;LB;58;22;Club Atlas;3
Dani Vivian;Spain;CB;65;21;Athletic Club;3
Yesid Diaz;Colombia;CDM|CM;60;23;Independiente Medellín;3
Edwin Mosquera;Colombia;LM;58;19;Independiente Medellín;3
Bryan Mendoza;Mexico;CF|RW;64;22;U.N.A.M.;3
Zakaria Aboukhlal;Netherlands;RW|LW;67;20;AZ;3
Cristian Cedrés;Spain;RM|LM;67;24;UD Las Palmas;3
Eric Junior Dina Ebimbe;France;RM|CM;66;19;Havre Athletic Club;3
Bilal Benkhedim;France;RM|CAM;63;19;AS Saint-Étienne;3
Jan Just;Germany;RB|CB;57;23;Sportverein Waldhof Mannheim 07 e.V.;3
Jesse Weißenfels;Germany;ST;57;28;Sportverein Waldhof Mannheim 07 e.V.;3
Mete Çelik;Turkey;LB|LM;60;23;Sportverein Waldhof Mannheim 07 e.V.;3
Alexandre Phliponeau;France;CDM|CM;64;20;Olympique de Marseille;3
Catalin Itu;Romania;CM;63;20;CFR Cluj;3
Roberto Malaele;Romania;CAM;57;17;Fotbal Club Viitorul Constan?a;3
Jacob Greaves;England;CB;62;19;Cheltenham Town;3
Loïc Mbe Soh;France;CB;68;19;Paris Saint-Germain;3
Arthur Zagré;France;LB;65;18;AS Monaco Football Club SA;3
Cheikh Niasse;Senegal;CB|CDM;64;20;LOSC Lille;3
Louis Munteanu;Romania;ST;59;18;Fotbal Club Viitorul Constan?a;3
Benjamin Cabango;Wales;CB;61;20;Swansea City;3
Ibrahim Karamoko;France;CM;57;19;Chievo Verona;3
Wesley Fofana;France;CB|CDM;67;19;AS Saint-Étienne;3
Valeriy Bondar;Ukraine;CB;65;21;Shakhtar Donetsk;3
Juan Castro;Mexico;LM|CAM;64;28;Club Atlético de San Luis;3
Sergej Grubac;Montenegro;ST;59;20;Chievo Verona;3
Paulino;Spain;RM|CAM;64;23;D. Alavés;3
Matthew Warburton;England;CAM;57;28;Northampton Town;3
Jack Iredale;Australia;LB;58;24;Carlisle United;3
Juan Pablo Patiño;Colombia;CDM;58;21;Cúcuta Deportivo;3
Michee Ngalina;DR Congo;ST|RW;61;20;Philadelphia Union;3
Gustav Isaksen;Denmark;LM|LW;60;19;FC Midtjylland;3
Gassan Ahadme;Morocco;ST;59;19;Norwich City;3
Yushi Hasegawa;Japan;CDM|CM;64;23;Oita Trinita;3
Joachim Carcela-González;Belgium;CAM;59;20;Standard de Liège;3
Jesús Fortes;Spain;RB;64;23;UD Las Palmas;3
Thibault Jaques;France;CB;68;32;FC Chambly Oise;3
Judicaël Crillon;France;LB|LWB|LW;62;31;FC Chambly Oise;3
Anthony Soubervie;France;RWB|RM|RW;63;36;FC Chambly Oise;3
John Popelard;France;LM|CM;59;34;FC Chambly Oise;3
Christian Conteh;Germany;LM|RW|LW;63;20;FC St. Pauli;3
Malcolm Barcola;Togo;GK;58;21;Olympique Lyonnais;3
Pierre Ruffaut;France;CM|CAM;66;33;Rodez Aveyron Football;3
Jannes Van Hecke;Belgium;CAM;58;18;SV Zulte Waregem;3
Jon Mellish;England;CB;57;22;Carlisle United;3
Ugo Bonnet;France;ST;68;26;Rodez Aveyron Football;3
Matthieu Guerbert;France;LM|CM;63;28;Rodez Aveyron Football;3
Jérémy Mellot;France;RB;68;26;En Avant Guingamp;3
Aurélien Tertereau;France;CM;66;29;Rodez Aveyron Football;3
Alexis Peyrelade;France;RWB|LWB|RW|LW;58;23;Rodez Aveyron Football;3
Joris Chougrani;France;CB|LWB|LW;64;29;Rodez Aveyron Football;3
Pierre Bardy;France;CB;66;27;Rodez Aveyron Football;3
Hugo Garcia;France;CM|CAM;57;22;Rodez Aveyron Football;3
Timothé Nkada;France;ST;60;21;Stade de Reims;3
Jimmy Knowles;England;ST;58;18;Mansfield Town;3
Sergio Camello;Spain;ST;65;19;Atlético Madrid;3
Aaron Hickey;Scotland;RB|LB;64;18;Heart of Midlothian;3
Ryu Takao;Japan;RB|CB;65;23;Gamba Osaka;3
Yaw Ackah;Ghana;CDM|CM;70;21;Boavista FC;3
Nurettin Korkmaz;Turkey;LM;58;18;Kayserispor;3
Mateu Morey;Spain;RB;64;20;Borussia Dortmund;3
Shaquil Delos;France;RWB|LB|RW;59;21;FC Chambly Oise;3
Thomas Secchi;France;GK;58;23;Rodez Aveyron Football;3
Mohamed Diaby;France;CDM;70;23;FC Paços de Ferreira;3
Tom Clifford;England;LB;57;20;Southend United;3
Zé Uilton;Brazil;RW|LW;65;28;FC Paços de Ferreira;3
Oguz Yilmaz;Turkey;CB;64;27;Denizlispor;3
Berat Ayberk Özdemir;Turkey;CDM|CM;68;22;Gençlerbirligi SK;3
Danny Leyva;United States;CM;57;17;Seattle Sounders FC;3
